"Day";"IdLabel";"block";"lockdown_type"
7;"Bat 67";27;0
7;"Bat 67";28;0
7;"Bat 67";29;2
7;"Bat 67";30;0
7;"Bat 67";31;0
7;"Bat 67";32;0
7;"Bat 67";33;0
7;"Bat 67";34;0
7;"Bat 67";35;1
7;"Bat 67";36;0
7;"Bat 67";37;0
7;"Bat 67";38;0
7;"Bat 67";39;0
7;"Bat 67";40;0
7;"Bat 67";41;0
7;"Bat 67";42;1
7;"Bat 67";43;0
7;"Bat 67";44;0
7;"Bat 67";45;0
7;"Bat 67";46;0
7;"Bat 67";47;2
7;"Bat 67";48;0
7;"Bat 67";49;0
7;"Bat 67";50;0
7;"Bat 67";51;0
7;"Bat 67";52;1
7;"Bat 67";53;0
7;"Bat 67";54;0
7;"Bat 67";55;0
7;"Bat 67";56;2
7;"Bat 67";57;0
7;"Bat 67";58;0
7;"Bat 67";59;0
7;"Bat 67";60;2
7;"Bat 67";61;0
7;"Bat 67";62;0
7;"Bat 67";63;0
7;"Bat 67";64;0
7;"Bat 67";65;1
7;"Bat 67";66;0
7;"Bat 67";67;0
7;"Bat 67";68;0
7;"Bat 67";69;0
8;"Bat 61";1;0
8;"Bat 61";2;0
8;"Bat 61";3;0
8;"Bat 61";4;0
8;"Bat 61";5;0
8;"Bat 61";6;0
8;"Bat 61";7;1
8;"Bat 61";8;0
8;"Bat 61";9;0
8;"Bat 61";10;0
8;"Bat 61";11;1
8;"Bat 61";12;0
8;"Bat 61";13;0
8;"Bat 61";14;0
8;"Bat 61";15;2
8;"Bat 61";16;0
8;"Bat 61";17;0
8;"Bat 61";18;0
8;"Bat 61";19;0
8;"Bat 61";20;1
8;"Bat 61";21;0
8;"Bat 61";22;0
8;"Bat 61";23;0
8;"Bat 61";24;2
8;"Bat 61";25;0
8;"Bat 61";26;0
8;"Bat 61";27;0
8;"Bat 61";28;0
8;"Bat 61";29;2
8;"Bat 61";30;0
8;"Bat 61";31;0
8;"Bat 61";32;0
8;"Bat 61";33;0
